Owner,Name,Status,Code
Connestee Falls Property Owners Assoc. Inc.,Connestee Falls Property Owners Assoc. Inc.,Draft,0014-0001
Consolidated Diesel Company,Consolidated Diesel Company,Completed,0609-0002
Corning Incorporated,Corning - Wilmington Plant,Completed,0779-0001
"Country Club of Asheville, Inc.","Country Club of Asheville, Inc.",Completed,0680-0001
Country Club of Landfall,Country Club of Landfall,Completed,0664-0001
Covia Holdings Corp.,Marston Facility,Completed,0194-0004
Cowans Ford Country Club,Cowans Ford Country Club,Completed,0223-0001
Cramer Mountain Country Club,Cramer Mountain Country Club,Completed,0657-0001
Croasdaile Country Club,Croasdaile Country Club,Completed,0419-0001
Cube Hydro Carolinas,Falls Powerhouse,Completed,0187-0006
Cube Hydro Carolinas,High Rock Powerhouse,Completed,0187-0003
Cube Hydro Carolinas,Narrows Powerhouse,Completed,0187-0005
Cube Hydro Carolinas,Tuckertown Powerhouse,Completed,0187-0004
Cullasaja Club,Cullasaja Club,Completed,0743-0001
Cumberland Gravel & Sand,Green River Quarrry,Draft,0782-0002
Cumberland Gravel & Sand,South McDowell Quarry,Completed,0782-0001
Daniel Clay Cartwright,"Countryscapes, LLC",Completed,0849-0001
"David Parks/Parks Land Development, Inc.",The Parks Pit,Completed,0829-0001
"Deck's Meadowbrook Golf Course, Inc.",Meadowbrook Golf Course,Completed,0698-0001
Deep Springs Country Club,Deep Springs Country Club,Draft,0745-0001
Deer Brook Golf Club,Deer Brook Golf Club,Completed,0663-0001
Diamond Creek Golf Club,Diamond Creek Golf Club,Completed,0767-0001
DL Minerals,Bluberry Land Sand Mine,Completed,0833-0001
Duck Woods Country Club,Duck Woods Country Club,Completed,0061-0001
"Duke Energy Progress, LLC",Allen Steam Station,Completed,0057-0004
"Duke Energy Progress, LLC",Asheville Steam Electric Plant (French Broad),Completed,0033-0002
"Duke Energy Progress, LLC",Asheville Steam Electric Plant (Lake Julian),Completed,0033-0016
"Duke Energy Progress, LLC",Bear Creek Hydro-electric Facility,Completed,0057-0003
"Duke Energy Progress, LLC",Belews Creek Steam Station,Completed,0057-0013
"Duke Energy Progress, LLC",Bridgewater Hydro Facility,Completed,0057-0015
"Duke Energy Progress, LLC",Brunswick Steam Electric Plant,Completed,0033-0001
"Duke Energy Progress, LLC",Buck Combined Cycle Station,Completed,0057-0021
"Duke Energy Progress, LLC",Cape Fear Steam Electric Plant,Completed,0033-0004
"Duke Energy Progress, LLC",Cedar Cliff Hydro-electric Facility,Completed,0057-0005
"Duke Energy Progress, LLC",Cliffside Steam Station,Completed,0057-0002
"Duke Energy Progress, LLC",Dan River Combined Cycle Station,Completed,0057-0022
"Duke Energy Progress, LLC",Harris Nuclear Plant,Completed,0033-0011
"Duke Energy Progress, LLC",Lincoln Combustion Turbine Station,Completed,0057-0014
"Duke Energy Progress, LLC",Line 446 Hrdrostatic Testing,Completed,0057-0024
"Duke Energy Progress, LLC",Line 451 Hydrostatic Testing,Completed,0057-0023
"Duke Energy Progress, LLC",Marshall Steam Station,Completed,0057-0001
"Duke Energy Progress, LLC",Mayo Electric Generating Plant,Completed,0033-0009
"Duke Energy Progress, LLC",McGuire Nuclear Station,Completed,0057-0008
"Duke Energy Progress, LLC",Mountain Island Hydro,Completed,0057-0019
"Duke Energy Progress, LLC",Nantahala Hydro-electric Facility,Completed,0057-0016
"Duke Energy Progress, LLC",Queens Creek Hydro-electric Facility,Completed,0057-0009
"Duke Energy Progress, LLC",Riverbend Steam Station,Completed,0057-0006
"Duke Energy Progress, LLC",Roxboro Steam Electric Plant,Completed,0033-0008
"Duke Energy Progress, LLC",Sutton Steam Electric Plant,Completed,0033-0007
"Duke Energy Progress, LLC",Tennessee Creek Hydro-electric Facility,Completed,0057-0018
"Duke Energy Progress, LLC",Thorpe Hydro-electric Facility,Completed,0057-0017
"Duke Energy Progress, LLC",Tuckasegee Hydro-electric Facility,Completed,0057-0012
"Duke Energy Progress, LLC",Tuxedo Hydro-electric Facility,Completed,0057-0007
"Duke Energy Progress, LLC",Walters Hydroelectric Plant,Completed,0033-0003
"Duke Energy Progress, LLC",Weatherspoon Steam Electric Power Plant,Completed,0033-0010
Eagle Chase Golf Club,Eagle Chase Golf Club,Completed,0660-0001
Eagle Point Golf Club,Eagle Point Golf Club,Completed,0739-0001
Ed Rodgers,Jefferson Landing Golf Club,Completed,0737-0001
Elementis Chromium L.P.,Elementis Chromium Castle Hayne Plant,Completed,0141-0001
Elk River Club,Elk River Club,Completed,0724-0001
Elkay Manufacturing,Elkay Plumbing Products Company,Completed,0818-0001
Fairfield Mountains POA,Rumbling Bald Resort,Completed,0277-0001
Flowe Farms 2 LLC,Flowe Farms 2 LLC,Completed,0838-0001
Forest Creek Development,Forest Creek Golf Club (North Course),Completed,0712-0001
Forest Creek Development,Forest Creek Golf Club (South Course),Completed,0712-0002
Forsyth County,Tanglewood Park,Completed,0019-0001
"Fox Den Country Club, LLC","Fox Den Country Club, LLC",Completed,0692-0001
"Franklin A. Brown, Jr./Brown's Land Developing, In",Joe Towe White Sand Mine,Completed,0827-0002
G.R. Laschober,Cooper  Creek Trout Farm,Completed,0323-0004
"G.S. Materials, Inc.",Emery Pit,Completed,0790-0002
"G.S. Materials, Inc.",Hall Rackley & Cameron Pits,Completed,0790-0001
Gaston Country Club,Gaston Country Club,Completed,0673-0001
General Electric Company,GE Wilmington,Completed,0296-0001
"George Clay Cowand, Jr.",Copperneck Sand Hole Mine,Completed,0851-0002
"George Clay Cowand, Jr.",Wildcat Road Mine,Completed,0851-0001
Georgia Pacific,"Lumberton Cellulose, LLC",Completed,0834-0001
Glady Fork Trout Farm and Hatchery LLC,Glady Fork Trout Hatchery,Completed,0715-0001
"Glen Oaks Golf Club, Inc.",Glen Oaks Golf Club,Completed,0604-0001
Governors Club,Governors Club,Completed,0787-0001
Grandfather Golf and Country Club,Grandfather Golf and Country Club,Completed,0617-0001
Grassy Creek Golf Course,Grassy Creek Golf Course,Completed,0753-0001
Greensboro,Bryan Park Golf Course,Completed,0042-0001
Greensboro Country Club,Greensboro Country Club Farm Course,Completed,0018-0002
Greensboro Country Club,Greensboro Country Club Irving Park Course,Completed,0018-0001
Griffin Brothers,Pine Island Country Club,Completed,0768-0001
H. Edward Knox,Verdict Ridge Country Club,Completed,0027-0001
Hainoa LLC DBA,Dormie Club,Completed,0765-0001
"Hanson Aggregates Southeast, LLC",Crabtree  Quarry,Completed,0340-0011
"Hanson Aggregates Southeast, LLC",Elliot Sand & Gravel,Completed,0340-0007
"Hanson Aggregates Southeast, LLC",Gardner Quarry,Completed,0340-0016
"Hanson Aggregates Southeast, LLC",Holly Springs Quarry,Completed,0340-0010
"Hanson Aggregates Southeast, LLC",Princeton Quarry,Completed,0340-0009
"Hanson Aggregates Southeast, LLC",Raleigh Quarry,Completed,0340-0012
"Hanson Aggregates Southeast, LLC",Rougemont Quarry,Completed,0340-0003
Harrison Construction Company,Cherokee County Quarry,Completed,0371-0005
Harrison Construction Company,Dillsboro Quarry,Completed,0371-0002
Harrison Construction Company,Franklin Quarry,Completed,0371-0003
Harrison Construction Company,Hayesville Quarry,Completed,0371-0004
Harrison Construction Company,Massey Branch Quarry,Completed,0371-0007
Harrison Construction Company,Mission Quarry,Completed,0371-0006
Harrison Construction Company,Waynesville Quarry,Completed,0371-0001
Hedrick Industries,Aquadale Plant,Completed,0356-0003
Hedrick Industries,Norman Sand Company,Completed,0356-0004
"Heritage Club Properties, LLC",The Heritage Club,Completed,0707-0001
Heritage Golf Group,TPC Piper Glen,Completed,0727-0001
High Point Country Club,Willow Creek Golf Club,Completed,0236-0001
Highland Country Club,Highland Country Club,Completed,0646-0001
Highlands Country Club,Highlands Country Club,Completed,0632-0001
Highlands Falls Country Club,Highlands Falls Country Club,Completed,0805-0001
"HOM Development, LLC",Wilbur Griggs Mine,Completed,0852-0001
"Hound and Ears Club, Inc.","Hound and Ears Club, Inc.",Completed,0636-0001
HPB Enterprises,The Sound Golf Link @ Albemarle Plantation,Completed,0620-0001
Imerys Mica Kings Mountain,Moss Plant,Completed,0863-0001
International Paper,Riegelwood Mill,Completed,0066-0001
International Textile Group,Cone Denim LLC-White Oak Plant,Completed,0854-0001
Invista Sarl,Invista Sarl,Completed,0358-0002
IRI Golf Group,Highland Creek Golf Course,Completed,0041-0002
Jackson Farming Company,Jackson Farming Company,Completed,0683-0001
Jackson Paper Manufacturing Company,Jackson Paper Manufacturing Company,Completed,0670-0001
Jamestown,Jamestown Park Golf Course,Completed,0011-0001
"Jeffrey A. Newbern, Sr.",Green Acres Land Development Sand Mine,Completed,0826-0001
Joey Byrum/Joe Carrell Byrum III,Byrum Farms Inc.,Completed,0868-0001
"Johnston Rural Recreation, Inc.",Cardinal Country Club,Completed,0618-0001
Keith Hall,Pointe Golf Club,Completed,0630-0002
Keith Hall,The Carolina Club,Completed,0630-0001
Kenmure Country Club,Kenmure Golf Course,Completed,0351-0001
Kilmarlic Golf Club,Kilmarlic Golf Club,Completed,0757-0001
Lake Hickory Country Club,Lake Hickory CC - Catawba Springs Course,Completed,0689-0001
Lake Hickory Country Club,Lake Hickory CC - Town Course,Completed,0689-0002
Lakewood Golf Club,Lakewood Golf Club,Completed,0708-0001
Latex Const. Co. for Dominion Energy,DENC T-030 Extension Pipeline,Completed,0871-0001
Laurel Ridge Country Club,Laurel Ridge Country Club,Completed,0777-0001
"Leisure Investments of NC, Inc.",Oak Island Golf Club,Completed,0690-0001
"Lincoln Country Club, Inc.","Lincoln Country Club, Inc.",Completed,0635-0001
"Linville Resorts, Inc.",Linville Golf Club,Draft,0629-0001
Linville Ridge Country Club,Linville Ridge Country Club,Completed,0693-0001
"Lockwood Folly Country Club, Inc.","Lockwood Folly Country Club, Inc.",Completed,0677-0001
Lousiana Pacific Corporation,Lousiana Pacific Corporation,Completed,0001-0001
Mallard Head Country Club,Resort Prop. Inc (DBA) Mallard Head C.C.,Completed,0619-0001
"Marion Lake Club, Inc. LLC","Marion Lake Club, Inc. LLC",Completed,0704-0001
"Martin Marietta Materials, Inc.",American Stone,Completed,0219-0001
"Martin Marietta Materials, Inc.",Arrowood Quarry,Completed,0219-0008
"Martin Marietta Materials, Inc.",Asheboro Quarry,Completed,0219-0009
"Martin Marietta Materials, Inc.",Bakers Quarry,Completed,0219-0010
"Martin Marietta Materials, Inc.",Benson Quarry,Completed,0219-0033
"Martin Marietta Materials, Inc.",Bessemer City Quarry,Completed,0219-0011
"Martin Marietta Materials, Inc.",Black Ankle Quarry,Completed,0219-0004
"Martin Marietta Materials, Inc.",Bonds Quarry,Completed,0219-0012
"Martin Marietta Materials, Inc.",Buchanan/Central Rock Quarry,Completed,0219-0034
"Martin Marietta Materials, Inc.",Burlington Quarry,Completed,0219-0035
"Martin Marietta Materials, Inc.",Caldwell Quarry,Completed,0219-0013
"Martin Marietta Materials, Inc.",Castle Hayne Quarry,Completed,0219-0003
"Martin Marietta Materials, Inc.",Charlotte Quarry,Completed,0219-0014
"Martin Marietta Materials, Inc.",Cumberland Quarry,Completed,0219-0006
"Martin Marietta Materials, Inc.",Denver Quarry,Completed,0219-0015
"Martin Marietta Materials, Inc.",East Alamance,Completed,0219-0007
"Martin Marietta Materials, Inc.",Franklin Quarry,Completed,0219-0038
"Martin Marietta Materials, Inc.",Fuquay Quarry,Completed,0219-0039
"Martin Marietta Materials, Inc.",Garner Quarry,Completed,0219-0040
"Martin Marietta Materials, Inc.",Haw River Quarry,Completed,0219-0041
"Martin Marietta Materials, Inc.",Hickory Quarry,Completed,0219-0024
"Martin Marietta Materials, Inc.",Hicone Quarry,Completed,0219-0042
"Martin Marietta Materials, Inc.",Jamestown Quarry,Completed,0219-0026
"Martin Marietta Materials, Inc.",Kannapolis Quarry,Completed,0219-0027
"Martin Marietta Materials, Inc.",Kings Mountain Quarry,Completed,0219-0028
"Martin Marietta Materials, Inc.",Lemon Springs Quarry,Completed,0219-0043
"Martin Marietta Materials, Inc.",Maiden Quarry,Completed,0219-0029
"Martin Marietta Materials, Inc.",Mallard Creek Quarry,Completed,0219-0030
"Martin Marietta Materials, Inc.",Matthews Quarry,Completed,0219-0031
"Martin Marietta Materials, Inc.",Pomona Quarry,Completed,0219-0017
"Martin Marietta Materials, Inc.",Raleigh-Durham Quarry,Completed,0219-0045
"Martin Marietta Materials, Inc.",Reidsville Quarry,Completed,0219-0046
"Martin Marietta Materials, Inc.",Rocky Point Quarry,Completed,0219-0005
"Martin Marietta Materials, Inc.",Salem Stone Quarry,Completed,0219-0019
"Martin Marietta Materials, Inc.",Statesville Quarry,Completed,0219-0020
"Martin Marietta Materials, Inc.",Thomasville Quarry,Completed,0219-0021
"Martin Marietta Materials, Inc.",Viewmont Quarry,Completed,0219-0051
"Martin Marietta Materials, Inc.",Woodleaf Quarry,Completed,0219-0022
"Marvin Development II, LLC",Firethrone Country Club,Completed,0023-0002
"McConnell Golf, LLC",Cardinal Golf & Country Club,Completed,0653-0001
"McConnell Golf, LLC",Old North State Club,Completed,0702-0001
"MDC II, LLC",Gates Four Golf & Country Club,Completed,0644-0001
Meadowlands LLC,Meadowlands Golf Club,Completed,0761-0001
Methodist University,King's Grant Golf Course,Completed,0381-0002
Methodist University,Methodist College Golf Course,Completed,0381-0001
Mike Tilley,Cumnock Farms LLC,Completed,0862-0001
Mimosa Hills Country Club,Mimosa Hills Country Club,Completed,0747-0001
Mitchell Wilson,Lynrock Golf Course,Completed,0755-0001
"Moncure Holdings West, LLC","Moncure Holdings Utility, LLC & Moncure Holdings W",Completed,0855-0001
Mooresville,Mooresville Golf Course,Completed,0128-0002
Mountain Air Development Corporation,Mountain Air Country Club,Completed,0428-0001
Mountain Aire,Mountain Aire Golf Club,Completed,0624-0001
"Mountain Golf, LLC",The Ridges Resort & Club,Completed,0652-0001
Mountaintop Community Association,Mountaintop Golf & Lake Club,Completed,0012-0001
"Moyock Farms Associates, Inc.",Blue Bird #1,Completed,0791-0001
"Mt. Mitchell Lands, Inc.",Mt. Mitchell Golf Club,Completed,0022-0001
Murfreesboro Farms Inc.,Murfreesboro Farms INC.,Draft,0418-0001
NC Wildlife Resources Commission,Bobby N. Setzer State Fish Hatchery,Completed,0135-0007
NC Wildlife Resources Commission,Table Rock Fish Hatchery,Completed,0135-0001
NC Wildlife Resources Commission,Watha State Fish Hatchery,Completed,0135-0010
"NCSU Centennial Development, LLC",Lonnie Poole Golf Course,Completed,0688-0001
North Carolina Dept. of Correction,Enterprise Farms,Completed,0348-0001
North Carolina State University,Central Crops Research Station,Completed,0036-0001
North Carolina State University,Sandhills Research Station,Completed,0036-0002
North Ridge Country Club,North Ridge Country Club,Completed,0047-0001
North Star Carolina Corp.,Sandpiper Bay Golf Club,Completed,0758-0001
North Stone Golf Club,North Stone Golf Club,Completed,0032-0001
Northbrook Carolina Hydro Llc,Turner Shoals Hydroelectric Plant,Completed,0361-0002
Northbrook Tuxedo LLC,Tuxedo Hydroelectric Facility,Completed,0869-0001
Nucor Corporation,Nucor Steel,Completed,0720-0001
Oak Valley Golf Club,Oak Valley Golf Club,Completed,0647-0001
Ocean Ridge Plantation Golf,"Lions Paw, Tigers Eye, & Panthers Run",Completed,0038-0003
Old Chatham Golf Club,Old Chatham Golf Club,Completed,0616-0001
Olde Beau Partnership,Olde Beau Golf Club,Completed,0728-0001
Olde Point Golf Course,Olde Point Golf Course,Completed,0770-0001
Pearl Golf Links,Pearl Golf Links,Completed,0784-0001
"Perdue Farms, Inc.",Cofield Facility,Completed,0230-0002
"Perdue Farms, Inc.",Lewiston,Completed,0230-0001
Perry & Perry Inc.,Saunders Farm Pumps,Completed,0265-0001
Phoenix Ski Corporation,Cataloochee Ski Area,Completed,0407-0001
Pilgrim's Pride,Pilgrim's Pride Water Treatment Plant,Completed,0285-0007
Pine Lake Country Club,Pine Lake Country Club,Completed,0040-0001
Pine Needles & Mid Pines Lodge And Country Club,Mid Pines Inn & Golf Club,Completed,0293-0002
Pine Needles & Mid Pines Lodge And Country Club,Pine Needles Lodge & Country Club,Completed,0293-0001
Pine Valley Country Club,Pine Valley Country Club,Draft,0658-0001
Pinehurst CC LLC,Pinehurst National #9,Completed,0756-0001
"Pinehurst, Inc.",LAKE PINEHURST,Completed,0150-0006
"Pinehurst, Inc.",Pinehurst Resort #1,Completed,0150-0001
"Pinehurst, Inc.",Pinehurst Resort #2,Completed,0150-0002
"Pinehurst, Inc.",Pinehurst Resort #3 & #5,Completed,0150-0003
"Pinehurst, Inc.",Pinehurst Resort #4,Completed,0150-0008
"Pinehurst, Inc.",Pinehurst Resort #6,Completed,0150-0005
"Pinehurst, Inc.",Pinehurst Resort #7,Completed,0150-0004
"Pinehurst, Inc.",Pinehurst Resort #8,Completed,0150-0007
Pinewild Country Club of Pinehurst,Azalea/Challenge Course,Completed,0742-0001
Pinewild Country Club of Pinehurst,Holly course,Completed,0742-0003
Pinewild Country Club of Pinehurst,Magnolia course,Completed,0742-0002
Pinnacle Golf Properties,Birkdale Golf Club,Completed,0858-0001
Porters Neck Country Club,Porters Neck Country Club,Completed,0397-0002
Prince Development Corp.,Prince Development Sand Pit,Draft,0870-0001
"Public Works Office, County of Dare",Dare County Construction/Demolition On-Site Borrow,Completed,0836-0001
Quail Hollow Club,Quail Hollow Club,Completed,0666-0001
Ratcliffe Golf Services,Charles T. Myers Golf Course,Completed,0731-0001
Red Bridge Golf & Country Club,Red Bridge Golf & Country Club,Completed,0795-0001
Ridgecrest Conference Center,Ridgecrest Conference Center,Completed,0406-0001
River Bend Golf Club,River Bend Golf Club,Completed,0017-0001
"River Farms, LLC",River Farms Mine,Completed,0850-0001
River Landing at Sandy Ridge,River Landing at Sandy Ridge,Completed,0803-0001
"Rivers Edge Golf Club, LLC","Rivers Edge Golf Club, LLC",Completed,0675-0001
Roaring Gap Club,Roaring Gap Club,Completed,0797-0001
Robert D. White,Robert White Sand Mine,Completed,0853-0001
Robert Levy Jr.,Mid South Golf Club,Completed,0734-0001
"Rock Barn Properties, Inc.",Rock Barn Golf & Spa Jackson Course,Completed,0625-0002
"Rock Barn Properties, Inc.",Rock Barn Golf & Spa Jones Course,Completed,0625-0001
Rolling Hills Country Club,Rolling Hills Country Club,Completed,0621-0001
RPC Contracting,Griggs Pit,Completed,0821-0001
Russell Underwood,Russell Underwood Farm,Completed,0612-0001
"Sandhill Turf, Inc.",Sandhill Turf Inc.,Completed,0253-0001
Sapona Country Club,Sapona Country Club,Completed,0171-0001
Sapphire Valley Country Club,Sapphire Valley Country Club,Completed,0719-0001
Scotch Hall Preserve,Scotch Hall Preserve,Completed,0053-0001
"Scotch Meadows Country Club, Inc.",Scotch Meadows  Country Club,Completed,0605-0001
Sea Scape Golf Links,Sea Scape Golf Links,Completed,0796-0001
Sedgefield Country Club,Sedgefield Country Club,Completed,0754-0001
Sequoyah National Golf Club,Sequoyah National Golf Club,Completed,0762-0001
Shadow Creek Trout,Shadow Creek Trout Farm,Completed,0808-0001
Shelby Underwood,Shelby Underwood Farm,Completed,0613-0001
Shelter Creek Capital,Shelter Creek Quarry,Completed,0813-0001
Sibelco North America,Crystal Facility,Completed,0194-0007
Sibelco North America,Quartz/Feldspar Facility,Completed,0194-0001
Sibelco North America,Red Hill Facility,Completed,0194-0008
Sibelco North America,Schoolhouse Quartz Facility,Completed,0194-0002
Siemens Westinghouse Power Corporation,Charlotte Turbine Generator Service Center,Completed,0248-0001
"Ski Hawksnest, Inc.",Hawksnest,Completed,0405-0001
"Ski the Ridges, LLC",Wolf Ridge Ski Resort,Completed,0610-0001
Smithfield Foods,Clinton Plant,Completed,0429-0003
Smithfield Foods,Smithfield Packing - Tar Heel Division,Completed,0429-0002
Spencer Mountain Hydropower LLC,Spencer Mountain Hydroelectric Project,Completed,0845-0001
Springdale Golf Partners LLC,Springdale Country Club,Completed,0778-0001
"Stonebridge Golf Facility Mgt, LLC",Stonebridge Golf Club,Completed,0721-0001
"Sugar Mountain Resort, Inc.",Sugar Mountain Ski Area,Completed,0415-0001
"T. J. Taylor & Sons, Inc.","T. J. Taylor & Sons, Inc.",Completed,0235-0001
Ted Winslow,Ted Winslow Farm,Completed,0343-0001
Teledyne Allvac,Monroe Plant,Completed,0338-0001
Terramesa Resort Properties,Bear Lake Golf Clulb,Completed,0730-0001
"The Chemours Company FC, LLC",Chemours Company - Fayetteville Works,Completed,0843-0001
The Cliffs at Walnut Cove Golf & Country Club,The Cliffs at Walnut Cove Golf & Country Club,Completed,0499-0001
The Country Club Of North Carolina,The Country Club Of North Carolina,Completed,0345-0001
"The Fork, LLC","The Fork, LLC",Draft,0007-0001
The Peninsula Club,The Peninsula Club,Completed,0500-0001
The Quartz Corp,K-T Feldspar,Completed,0067-0002
The Quartz Corp,The Feldspar Corporation,Completed,0067-0001
Thistle Golf Club,Thistle Golf Club,Completed,0783-0001
"Thomas A. Stevenson, Jr./Stevenson Sand, Inc.",Stevenson Sand Mine #1,Completed,0828-0001
"Thomas Turf, Inc.","Thomas Turf, Inc.",Completed,0716-0001
"Tobacco Road Golf, LLC","Tobacco Road Golf, LLC",Completed,0681-0001
Toll Brothers,Hasentree Residential Subdivision,Completed,0008-0001
Town of Fontana Dam,Fontana Dam Water Treatment Plant,Completed,0002-0001
Trillium Links & Lake Club,Trillium Links,Completed,0729-0002
Trump Organization,Trump National Charlotte,Completed,0044-0001
"Turf Mountain Sod, Inc.","Turf Mountain Sod, INC.",Completed,0412-0001
"Tyson Foods, Inc",River Valley Animal Foods,Completed,0426-0001
"Tyton NC Biofuels, LLC","Tyton NC Biofuels, LLC",Completed,0837-0001
U.S. National Whitewater Center,U.S. National Whitewater Center,Completed,0792-0001
UNC-Chapel Hill,Finley Golf Course,Completed,0347-0002
Unimin Corporation,Green Mountain Plant No. 1 Facility,Draft,0194-0003
"Valley Proteins, Inc.","Carolina By- Products, Gastonia Division",Completed,0713-0001
"Vulcan Construction Materials, LLC",115 Quarry,Completed,0199-0024
"Vulcan Construction Materials, LLC",Boone Quarry,Completed,0199-0023
"Vulcan Construction Materials, LLC",Cabarrus Quarry,Completed,0199-0000
"Vulcan Construction Materials, LLC",Clear Creek Quarry,Completed,0199-0019
"Vulcan Construction Materials, LLC",East Forsyth Quarry,Completed,0199-0013
"Vulcan Construction Materials, LLC",Elkin Quarry,Completed,0199-0027
"Vulcan Construction Materials, LLC",Enka Quarry,Completed,0199-0001
"Vulcan Construction Materials, LLC",Gold Hill Quarry,Completed,0199-0006
"Vulcan Construction Materials, LLC",Greystone Quarry,Completed,0199-0022
"Vulcan Construction Materials, LLC",Hendersonville Quarry,Completed,0199-0017
"Vulcan Construction Materials, LLC",Lenoir Quarry,Completed,0199-0029
"Vulcan Construction Materials, LLC",Morganton Quarry,Completed,0199-0004
"Vulcan Construction Materials, LLC",North Quarry,Completed,0199-0012
"Vulcan Construction Materials, LLC",Penrose Quarry,Completed,0199-0002
"Vulcan Construction Materials, LLC",Pineville Quarry,Completed,0199-0018
"Vulcan Construction Materials, LLC",Rockingham Quarry,Completed,0199-0020
"Vulcan Construction Materials, LLC",Smith Grove Quarry,Completed,0199-0010
"Vulcan Construction Materials, LLC",Spruce Pine Quarry,Completed,0199-0030
"Vulcan Construction Materials, LLC",Stokesdale Quarry,Completed,0199-0015
W.J. McLamb,"Meadowlands Golf Club, Inc.",Completed,0685-0001
"Wade Hampton Golf Club, Inc.","Wade Hampton Golf Club, Inc.",Completed,0684-0001
Wake Stone Corporation,Knightdale Quarry,Completed,0202-0003
Wake Stone Corporation,Moncure Quarry,Completed,0202-0001
Wake Stone Corporation,Nash County Quarry,Completed,0202-0002
Wake Stone Corporation,Triangle Quarry,Completed,0202-0004
"WestRock Kraft Paper, LLC.",Roanoke Rapids Mill,Completed,0037-0001
"Wil-Mar Golf Club, Inc.","Wil-Mar Golf Club, Inc.",Completed,0691-0001
Wildcat Cliffs Country Club,Wildcat Cliffs Country Club,Completed,0640-0001
Wiley B. Gillam III,Gillam Farms (combined),Completed,0054-0001
William H. Spruill,Guinea Mine,Completed,0839-0002
William H. Spruill,Spruill Mine,Completed,0839-0001
William R. Johnston,Johnston Farm,Completed,0207-0001
Williams Gas Pipe Lines (Transco),Rowan Loop,Draft,0006-0006
Z.V. Pate Inc.,Fisher Farm,Completed,0842-0001
Z.V. Pate Inc.,McLeod,Completed,0842-0002
Zebulon Country Club,Zebulon Country Club,Completed,0776-0001
Zink Holdings LLC,Zink Holdings LLC,Completed,0844-0001
